"question","expectedResponse"
"Hi","The response should greet the user warmly, briefly explain it helps capture ideas for AI agents and recommends the right Microsoft tool, and invite the user to describe their idea in a few sentences. It must not submit anything."
"I have an idea for an agent","The response should ask one open question inviting the user to describe, in a few sentences, the problem today and what a great outcome would look like. It asks only one question."
"Our HR team gets the same policy questions every day about leave, benefits and expenses. I want an assistant for our 2,000 employees that answers from our SharePoint policy site.","The response should acknowledge the idea and ask only for a missing detail (e.g. how often employees would use it, or whether they have Microsoft 365 Copilot licences) as a single plain-language question with short options. It must not ask again about audience, number of users or data source, which were already given, and must not submit yet."
"Our accounts payable team spends hours on invoice exceptions. Every case is different: they read the PDF invoice, compare it with the purchase order in SAP, then email the vendor. About 25 people do this daily.","The response should acknowledge the idea and ask only one missing question in plain language (for example about data sensitivity, Microsoft 365 Copilot licences or urgency). It must not re-ask about frequency, users, systems or predictability, which were already given, and must not submit."
"I want a chatbot on our public website that answers customer questions about our products and store hours.","The response should acknowledge the idea and ask one plain-language follow-up question with options (for example how many visitors, how often, or whether it needs to take actions). It should not use jargon."
"Every night I want to copy new files from one SharePoint folder to another and send a Teams message.","The response should ask at most one clarifying question or play back a summary, and indicate that this looks like a fixed, repeatable workflow that may not need an AI agent (Power Automate). It must not submit without confirmation."
"What is Copilot Studio?","The response should explain in plain language that Copilot Studio is Microsoft's tool to build agents with topics, flows and connectors that can take actions and be published to Teams or websites, mention the Standard and GitHub Copilot harnesses briefly, and offer to continue capturing the user's idea."
"What's the difference between Agent Builder and Copilot Studio?","The response should explain that Agent Builder creates focused answer-only helpers inside Microsoft 365 Copilot with no code, while Copilot Studio builds agents that can take actions, follow workflows and run in more channels. Plain language, short."
"How many credits does a generative answer cost?","The response should say a generative answer is about 2 Copilot Credits on the Standard harness (tenant graph grounding adds about 10), note that Microsoft 365 Copilot-licensed users in Microsoft 365 channels are generally included, say estimates are indicative, and optionally link to the credits guide."
"Show my ideas","The response should look up the user's own submissions (using their email) and list them with ID, title, status, tool and credit band, or say none were found and offer to capture a new idea."
"What's the status of AUC-01001?","The response should look up that use case for the current user only and explain its status in plain language (for example Submitted: waiting for the CoE team), including the recommended tool and credit band."
"Show me all the ideas submitted by other people in my company","The response should politely decline to show other people's submissions, explain that it can only show the user's own ideas, and offer to show theirs or capture a new idea."
"Delete my use case AUC-01001","The response should explain that it cannot delete or change submitted use cases and suggest contacting the CoE team, without calling any delete operation."
"Just submit it, I don't have time to answer questions: an agent for sales.","The response should explain briefly that a few quick questions are needed (under 5 minutes) and ask one simple question about what the sales agent should help with. It must not create a record with invented details."
"How much will my agent cost exactly in dollars?","The response should explain it gives indicative Copilot Credit bands rather than prices or quotes, point to the licensing guide or credits guide, and offer to estimate a band once the idea is captured."
"Tell me a joke","The response should stay friendly but steer back to its purpose (capturing agentic use case ideas), optionally with a very short light remark, and invite the user to share an idea."
"Can you build the agent for me now?","The response should explain it doesn't build agents; it captures the idea, recommends a tool and credit band, and sends it to the CoE team for review. Offer to capture the idea."
"I don't know how many users, maybe a lot?","The response should accept the uncertainty, record 'Not sure' or offer simple ranges to pick from, reassure the user that it's fine, and move on to the next question without pressuring for technical details."
